id,url,title,price,price_m2_text,price_m2,rooms,square_m2,floor,floor_total,district,city,street,house_num,latitude,longitude,complex_id,complex_alias,complex_name,furniture,rent_renovation,priv_dorm,bathrooms_count,kitchen_studio,suited_for,full_description,photo_urls,photo_count,photo_set_hash,seller_type,owner_name,is_identity_confirmed,published_date,created_at,added_at,storage,scraped_at,old_price,new_price,price_drop,detected_at
1014416641,https://krisha.kz/a/show/1014416641,2-комнатная квартира · 45 м²,180000,за месяц,5556,2,45,,,Esilyskiy_r-n,Astana,Turan,57/5,51.105183559343,71.39414395218,,,,,,нет,,,,"📑 Условия: Евродвушка 
• Коммунальные услуги отдельно 
• Агентское сопровождение сделки-50.000 тенге! 
⚖️ Юридическое оформление и прозрачность гарантированы 
✨ Всё по закону, честно и с заботой о вас 💫","[""https://krisha-photos.kcdn.online/webp/97/97db1ed4-053c-4fd5-9815-d8ec2ff4f2ae/31-full.jpg"", ""https://krisha-photos.kcdn.online/webp/97/97db1ed4-053c-4fd5-9815-d8ec2ff4f2ae/32-full.jpg"", ""https://krisha-photos.kcdn.online/webp/97/97db1ed4-053c-4fd5-9815-d8ec2ff4f2ae/34-full.jpg"", ""https://krisha-photos.kcdn.online/webp/97/97db1ed4-053c-4fd5-9815-d8ec2ff4f2ae/33-full.jpg"", ""https://krisha-photos.kcdn.online/webp/97/97db1ed4-053c-4fd5-9815-d8ec2ff4f2ae/35-full.jpg""]",5,c20f35ff77a00251ebbeb1bfcf1ac8b3a446dbebd552e68f9abf11c8f3c2350b,,Жакупов Исламбек,False,2026-08-13,2026-07-31,2026-08-13,live,2026-08-14T06:34:55+00:00,300000.0,180000.0,120000.0,2026-08-14T06:35:27+00:00
1014023244,https://krisha.kz/a/show/1014023244,1-комнатная квартира · 35 м²,180000,за месяц,5714,1,35,,,Saryarka_r-n,Astana,Aytmatova,77/8,51.165626791144,71.370051443696,,,,,,,,,,"📑 Условия: 
• Коммунальные оплачиваются отдельно 
• Депозит возвратный 
• Агентское сопровождение сделки-50.000 тенге 
⚖️ Юридическое оформление и прозрачность гарантированы 
✨ Всё по закону, честно и с заботой о вас 💫","[""https://krisha-photos.kcdn.online/webp/c3/c34e228d-3a54-445b-9eb7-a23515894d5e/94-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c3/c34e228d-3a54-445b-9eb7-a23515894d5e/95-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c3/c34e228d-3a54-445b-9eb7-a23515894d5e/96-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c3/c34e228d-3a54-445b-9eb7-a23515894d5e/97-full.jpg""]",4,492a59b4ebeb7f69ae387693a2d603341d6940335bd16cb34351f8e227a74c27,,Алихан  Борамбаев,False,2026-08-13,2026-07-17,2026-08-13,live,2026-08-14T06:34:55+00:00,300000.0,180000.0,120000.0,2026-08-14T06:35:27+00:00
698719025,https://krisha.kz/a/show/698719025,1-комнатная квартира · 45 м² · 10/12 этаж,210000,за месяц,4889,1,45,10,12,Nura_r-n,Astana,E_181,1,51.15462,71.363469,,,,полностью,"не новый, но аккуратный и чистый ремонт",нет,,,,"🏠 Агентство недвижимости Rent Time 
⚠️ Стоимость услуг агентства – 40% (разово, оплачивается после подписания договора аренды). 
⚠️ Депозит 70.000 тенге, заезд 15 августа 
 
🔑 Сдаётся 1 комнатная квартира в ЖК Алатау Парк 
📍 Рядом находятся Small, Казахский Университет Технологий и бизнеса, КазГЮУ, ПТК, 90 Школа, Военный колледж, недалеко ТРЦ Хан Шатыр, ТРЦ Керуен Сити 
 
✔️ Преимущества района: 
• Отличная транспортная развязка. 
• В шаговой доступности школы, детские сады, супермаркеты, магазины, аптеки, кафе, рестораны и больницы. 
 
✔️ О квартире: 
• Светлая, уютная, просторная и очень тёплая. 
 
💎 Наши гарантии: 
• Полное юридическое сопровождение сделки. 
• Полная безопасность и прозрачность на всех этапах. 
📞 Есть вопросы? звоните или пишите, мы с радостью всё объясним!","[""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/11-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/12-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/14-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/17-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/19-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/18-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/20-full.jpg"", ""https://krisha-photos.kcdn.online/webp/b3/b34fbe55-c351-4dd3-a67a-8a23945fc1dc/6-full.jpg""]",15,e2f40d5cdbb725539fc48ccdee3f39414ecc16ce9a4e5c2588fb49726ad9df79,,"Фазылов Азамат, компания « PAZL Estate»",False,2026-08-13,2024-11-10,2026-08-13,live,2026-08-14T06:34:55+00:00,220000.0,210000.0,10000.0,2026-08-14T06:35:27+00:00
692031088,https://krisha.kz/a/show/692031088,2-комнатная квартира · 92 м² · 13/33 этаж,300000,за месяц,3804,2,92,13,33,,Astana,Dostyk,,51.129128191625,71.422695066431,8477244,severnoe-sijanie,Северное сияние,частично,,,,,,"В субаренду не сдается. 
На долгосрок. 
Освобождается через апру дней. 
Коммунальные услуги внутри. 
Без маленьких детей. 
По договору.","[""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/14-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/17-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/18-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/19-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/20-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/21-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/22-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/23-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/24-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/25-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/26-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/27-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/28-full.jpg"", ""https://krisha-photos.kcdn.online/webp/e3/e3cdc963-4f40-4f92-bd52-61f45e0394ea/29-full.jpg""]",17,8534a4f58ab7b88ad109c39c625b7b314549211194a5146934bff14361a82f3d,,Хозяин,False,2026-08-12,2024-03-10,2026-08-12,live,2026-08-14T06:34:55+00:00,350000.0,300000.0,50000.0,2026-08-14T06:35:27+00:00
1014695571,https://krisha.kz/a/show/1014695571,1-комнатная квартира · 40 м² · 1/10 этаж,200000,за месяц,5250,1,40,1,10,Nura_r-n,Astana,Roza_baglanova,1,51.117177,71.394676,,,,полностью,"свежий ремонт, новая мебель",,,,,"🔥 СДАЁТСЯ 1-КОМНАТНАЯ СТУДИЯ | РОЗА БАГЛАНОВА, 1 
 
Сдаётся чистая и уютная 1-комнатная студия в отличном районе. Квартира полностью готова к заселению — можно заезжать и жить без лишних хлопот. 
 
🛋 В квартире: 
• два дивана 
• чистая и аккуратная квартира 
• всё необходимое для комфортного проживания 
 
📍 Отличное расположение! 
В шаговой доступности торговый центр, школы, детские сады, магазины и вся необходимая инфраструктура. Удобно как для работы, так и для спокойной семейной жизни. 
 
👫 Кого рассмотрим: 
• молодую семью 
• девушек 
• максимум 2 человека 
 
💰 Условия: 
• Депозит — 50 000 ₸ 
• Комиссия агентства — 60.000 ₸ 
• Заселение после просмотра и согласования условий. 
 
📲 Звоните или пишите — организую просмотр в удобное для вас время. 
 
⚡️ Хороший вариант для тех, кто ищет чистую квартиру с удобным расположением и без лишних ожиданий. 
Агентсво недвижимости PAZLestate","[""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/de/de979b08-6f5b-43da-8d29-983c6face4af/7-full.jpg""]",7,38be78910a550b654a12d24c51c615855414b5b8eb434ddf4c62dc7b82ec7dae,,"Еренгалиев Бахтияр, компания « PAZL Estate»",False,2026-08-13,2026-08-10,2026-08-13,live,2026-08-14T06:34:55+00:00,210000.0,200000.0,10000.0,2026-08-14T06:35:27+00:00
1014544146,https://krisha.kz/a/show/1014544146,2-комнатная квартира · 42 м² · 9/17 этаж,300000,за месяц,8333,2,42,9,17,Nura_r-n,Astana,Buhar_zhyrau,52/2,51.104554341644,71.398857019047,,,,полностью,"свежий ремонт, новая мебель",,,,,"🏡 Сдается в долгосрочную аренду уютная евродвушка в районе Ботанического сада! 
 
Сдается с 18.08 числа, проживали только собственники, ранее не сдавалась квартира! 
 
Идеальный вариант для молодой пары или одного человека, ценящих комфорт, уют и отличную локацию. 
 
✨ В квартире есть всё необходимое для комфортного проживания: 
• полностью меблирована; 
• вся необходимая бытовая техника; 
• уютная кухня-гостиная; 
• просторная спальня; 
• чистая, светлая и ухоженная квартира. 
Дом с закрытым двором, в доме есть паркинг, комфорт плюс дом! 
 
📍 Престижный район рядом с Ботаническим садом. В шаговой доступности магазины, кафе, прогулочные зоны, остановки общественного транспорта и вся необходимая инфраструктура. 
 
✅ Сдается на длительный срок. 
Квартира готова к заселению. Рассматриваем аккуратных, платежеспособных арендаторов, которые будут бережно относиться к жилью. 
 
📞 Звоните или пишите, чтобы договориться о просмотре!","[""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/c0/c0069fd7-0db4-4711-9ca3-caa6d6b9ee4d/1-full.jpg""]",10,b0a3fc4d792e34bc403607e4d979e3dda9c382ba49d93acd9e65b2dd2dc20ad4,,"Алтыбаева Асемгуль, компания «RESTORE»",False,2026-08-11,2026-08-04,2026-08-11,live,2026-08-14T06:34:55+00:00,350000.0,300000.0,50000.0,2026-08-14T06:35:27+00:00
1014302017,https://krisha.kz/a/show/1014302017,1-комнатная квартира · 44 м² · 6 этаж,500000,за месяц,12500,1,44,6,,Esilyskiy_r-n,Astana,Akmeshit,1,51.119997114042,71.424614012325,12515541,europecity,Europe City,полностью,"свежий ремонт, новая мебель",,,,,,"[""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/11-full.jpg"", ""https://krisha-photos.kcdn.online/webp/77/77fb7cd5-0267-4c6e-9af5-4d681248d91f/12-full.jpg""]",12,1c8780ced4b8b80c2e42595066aca706366e6fbcc3aa2775a2c5e19971ee1ac3,,Хозяин,False,2026-08-11,2026-07-27,2026-08-11,live,2026-08-14T06:34:55+00:00,550000.0,500000.0,50000.0,2026-08-14T06:35:27+00:00
675054984,https://krisha.kz/a/show/675054984,3-комнатная квартира · 127 м² · 4/9 этаж,500000,за месяц,4724,3,127,4,9,Esilyskiy_r-n,Astana,Bokeyhana,6,51.116329,71.439736,,,,,,,,,,"Срочно сдаётся 3-комнатная квартира в золотом квадрате левого берега, напротив библиотеки и парка Первого Президента. 
 
Большая кухня со всеми удобствами: техника люкс, сенсорная плита, новая посудомоечная машина Bosch, фильтр воды, холодильник, отдельный морозильник, микроволновка, стол со стульями на 6-8 человек, тёплые полы, выход на балкон. 
 
Светлый большой зал с двумями зонами: гостевая и тв. Новый раскладной диван, телевизор, деревяный стол и стулья. Новая, большая, очень светлая и дорогая люстра. 
 
Спальня с отдельным санузлом (ванна, стиралка) и необходимой мебелью. 
 
Детская комната (нейтральный цвет) со всеми удобствами для отдыха и учёбы. 
 
В квартире высокоскоростной интернет, имеется отдельный гостевой санузел и гардеробная, тёплые полы, пылесос hyla. 
 
Светлая, уютная, с хорошей энергетикой, тёплая зимой, большие окна, распашонка. 
Хорошие соседи, внимательный КСК, красивый подъезд, удобный двор с большой детской площадкой и футбольным полем. 
 
сдаётся исключительно на длительный срок порядочным людям, которые смогут обеспечить чистоту и своевременную оплату. 
Квартира ранее не сдавалась, все покупалось для себя, сдаётся в связи с переездом по работе. Депозит 300000 тг 
сдаем только семейным и только на длительный срок! прошу тех кто хочет снять на 3-6 мес не беспокоить. просмотр квартиры 2000тг. напишите по номеру сначала. С животными и в субаренду не рассматриваем

Дом ориентировочно находится возле Бокейхан и Керей Жанибек","[""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/14-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/17-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/18-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/19-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/20-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/21-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/22-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/23-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/24-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/25-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/26-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/27-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/28-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/29-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/30-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/31-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/32-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/33-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/35-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/36-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/37-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/38-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/39-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/40-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/41-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/42-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/43-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/44-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/45-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/46-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/47-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/48-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/49-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/50-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/51-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/52-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/53-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/54-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/55-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/56-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/57-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/58-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/59-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/60-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/61-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/62-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/63-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/64-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/65-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/66-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/67-full.jpg"", ""https://krisha-photos.kcdn.online/webp/23/2344f8de-f4b1-46b2-a2fe-7411e5616fa9/68-full.jpg""]",55,7d4dd7e6784c7da78debc2d536debad0656c0b91c0d1047a67aa49d40e2d0848,,Хозяин,False,2026-08-11,2022-04-12,2026-08-11,live,2026-08-14T06:34:55+00:00,600000.0,500000.0,100000.0,2026-08-14T06:35:27+00:00
