id,url,price,page_number,scraped_at
694407361,https://krisha.kz/a/show/694407361,300000,56,2026-08-23T14:27:38+00:00
1008084824,https://krisha.kz/a/show/1008084824,400000,56,2026-08-23T14:27:38+00:00
1012865824,https://krisha.kz/a/show/1012865824,270000,56,2026-08-23T14:27:38+00:00
1015004392,https://krisha.kz/a/show/1015004392,300000,56,2026-08-23T14:27:38+00:00
1015034513,https://krisha.kz/a/show/1015034513,300000,56,2026-08-23T14:27:38+00:00
1014832018,https://krisha.kz/a/show/1014832018,230000,56,2026-08-23T14:27:38+00:00
1014434123,https://krisha.kz/a/show/1014434123,280000,56,2026-08-23T14:27:38+00:00
697843609,https://krisha.kz/a/show/697843609,220000,56,2026-08-23T14:27:38+00:00
1014417922,https://krisha.kz/a/show/1014417922,400000,56,2026-08-23T14:27:38+00:00
1010307515,https://krisha.kz/a/show/1010307515,350000,56,2026-08-23T14:27:38+00:00
1009319012,https://krisha.kz/a/show/1009319012,280000,56,2026-08-23T14:27:38+00:00
1013503817,https://krisha.kz/a/show/1013503817,270000,56,2026-08-23T14:27:38+00:00
1014508749,https://krisha.kz/a/show/1014508749,270000,56,2026-08-23T14:27:38+00:00
1007371844,https://krisha.kz/a/show/1007371844,600000,56,2026-08-23T14:27:38+00:00
1014209535,https://krisha.kz/a/show/1014209535,450000,56,2026-08-23T14:27:38+00:00
1014620714,https://krisha.kz/a/show/1014620714,200000,56,2026-08-23T14:27:38+00:00
1011667933,https://krisha.kz/a/show/1011667933,300000,56,2026-08-23T14:27:38+00:00
1009580259,https://krisha.kz/a/show/1009580259,380000,56,2026-08-23T14:27:38+00:00
1014614264,https://krisha.kz/a/show/1014614264,800000,56,2026-08-23T14:27:38+00:00
1014818333,https://krisha.kz/a/show/1014818333,300000,56,2026-08-23T14:27:38+00:00
1012167059,https://krisha.kz/a/show/1012167059,280000,57,2026-08-23T14:27:42+00:00
698755811,https://krisha.kz/a/show/698755811,350000,57,2026-08-23T14:27:42+00:00
1001441925,https://krisha.kz/a/show/1001441925,300000,57,2026-08-23T14:27:42+00:00
760663398,https://krisha.kz/a/show/760663398,220000,57,2026-08-23T14:27:42+00:00
1014751594,https://krisha.kz/a/show/1014751594,300000,57,2026-08-23T14:27:42+00:00
1014616142,https://krisha.kz/a/show/1014616142,320000,57,2026-08-23T14:27:42+00:00
696075854,https://krisha.kz/a/show/696075854,450000,57,2026-08-23T14:27:42+00:00
1014744165,https://krisha.kz/a/show/1014744165,1000000,57,2026-08-23T14:27:42+00:00
1013767457,https://krisha.kz/a/show/1013767457,270000,57,2026-08-23T14:27:42+00:00
1014531447,https://krisha.kz/a/show/1014531447,350000,57,2026-08-23T14:27:42+00:00
1012095709,https://krisha.kz/a/show/1012095709,330000,57,2026-08-23T14:27:42+00:00
1004607359,https://krisha.kz/a/show/1004607359,2300000,57,2026-08-23T14:27:42+00:00
1014302017,https://krisha.kz/a/show/1014302017,500000,57,2026-08-23T14:27:42+00:00
1013909237,https://krisha.kz/a/show/1013909237,500000,57,2026-08-23T14:27:42+00:00
1014563310,https://krisha.kz/a/show/1014563310,370000,57,2026-08-23T14:27:42+00:00
1015034437,https://krisha.kz/a/show/1015034437,350000,57,2026-08-23T14:27:42+00:00
1012902056,https://krisha.kz/a/show/1012902056,350000,57,2026-08-23T14:27:42+00:00
1014833035,https://krisha.kz/a/show/1014833035,300000,57,2026-08-23T14:27:42+00:00
697528045,https://krisha.kz/a/show/697528045,1200000,59,2026-08-23T14:27:47+00:00
1006738910,https://krisha.kz/a/show/1006738910,400000,59,2026-08-23T14:27:47+00:00
660233518,https://krisha.kz/a/show/660233518,240000,58,2026-08-23T14:27:45+00:00
1015004878,https://krisha.kz/a/show/1015004878,400000,58,2026-08-23T14:27:45+00:00
1015001983,https://krisha.kz/a/show/1015001983,240000,58,2026-08-23T14:27:45+00:00
695189217,https://krisha.kz/a/show/695189217,400000,58,2026-08-23T14:27:45+00:00
1014999501,https://krisha.kz/a/show/1014999501,280000,58,2026-08-23T14:27:45+00:00
1011382318,https://krisha.kz/a/show/1011382318,800000,58,2026-08-23T14:27:45+00:00
1012792971,https://krisha.kz/a/show/1012792971,800000,58,2026-08-23T14:27:45+00:00
687371418,https://krisha.kz/a/show/687371418,1100000,58,2026-08-23T14:27:45+00:00
1006949807,https://krisha.kz/a/show/1006949807,320000,58,2026-08-23T14:27:45+00:00
